Slice,Mean
1562,513.115
1563,491.995
1564,427.274
1565,471
1566,473.303
1567,473.784
1568,509.106
1569,480.841
1570,455.606
1571,442.25
1572,437.067
1573,453.856
1574,484.644
1575,508.615
1576,513.327
1577,473.298
1578,455.298
1579,455.486
1580,484.135
1581,496.837
1582,488.635
1583,489.99
1584,466.433
1585,435.947
1586,453.332
1587,471.053
1588,495.514
1589,484.067
1590,488.125
1591,481.303
1592,438.62
1593,449.159
1594,448.837
1595,511.851
1596,495.567
1597,488.404
1598,434.13
1599,433.981
1600,428.716
1601,445.678
1602,452.683
1603,432.769
1604,420.99
1605,415.312
1606,397.529
1607,416.024
1608,455.149
1609,458.375
1610,457.327
1611,467.889
1612,421.053
1613,419.077
1614,423.327
1615,483.188
1616,507.101
1617,454.769
1618,453.851
1619,415.192
1620,443.947
1621,483.356
1622,463.317
1623,471.625
1624,451.793
1625,440.332
1626,438.058
1627,436.058
1628,493.37
1629,480.216
1630,494.053
1631,464.731
1632,451.947
1633,440.067
1634,454.683
1635,478.625
1636,515.087
1637,473.841
1638,431.067
1639,420.308
1640,369.399
1641,407.111
1642,414.26
1643,468.76
1644,465.832
1645,432.26
1646,441.971
1647,454.043
1648,409.486
1649,369.486
1650,443.288
1651,523.986
1652,463.712
1653,451.942
1654,459.149
1655,432.558
1656,448.01
1657,496.966
1658,500.332
1659,533.606
1660,450.029
1661,456.433
1662,429.269
1663,491.062
1664,550.606
1665,485.058
1666,451.125
1667,426.822
1668,471.909
1669,432.808
1670,493.394
1671,514.202
1672,545.087
1673,485.822
1674,439.202
1675,424.827
1676,461.981
1677,481.163
1678,514.827
1679,505.226
1680,472.793
1681,494.365
1682,433.889
1683,452.543
1684,484.197
1685,494.212
1686,475.707
1687,466.75
1688,443.168
1689,439.284
1690,508.471
1691,479.327
1692,495.322
1693,454.817
1694,458.341
1695,471.269
1696,442.197
1697,527.024
1698,542.418
1699,500.524
1700,497.135
1701,470.596
1702,462.394
1703,486.466
1704,522.615
1705,482.553
1706,486.798
1707,447.476
1708,474.505
1709,452.538
1710,422.918
1711,499.981
1712,482.341
1713,501.13
1714,436.476
1715,450.913
